index,Name,Short Name,Gender,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Eggie Wing,Wing Name,Room,Schedule,Cause of Death,Eggie Rank,Eggie Grade,DrakeRezCode,Drake Residence,Drake Grades
1,Infernobinder Pyroheart,,F,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,2,1E,Empyrean,1,1A,,204,C,10,Boudlerfall Enclave,
2,Blazeheart Searwing,,M,Red,chromatic,arcane,proud and arrogant,4,Economic Dominance and Resource Management,2,1E,Empyrean,2,1A,,390,D+,10,Boudlerfall Enclave,
3,Blackscale Gloomfang,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,2,1E,Empyrean,3,1A,,44,B+,10,Boudlerfall Enclave,
4,Prismwing Reflectus,,M,Crystal,primal,primal,build beautiful homes,4,Economic Dominance and Resource Management,2,1E,Empyrean,4,1A,,340,C-,10,Boudlerfall Enclave,
5,Emberheart Scorchclaw,,M,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,2,1E,Empyrean,5,1A,,177,C+,10,Boudlerfall Enclave,
6,Midnightwing Indigara,,M,Indigo,wild,arcane,party going revelers,1,Prophecy,2,1E,Empyrean,6,2B,,16,A,1,Emberfall Heights,
7,Eclipsewing Selenea,,F,Lunar,outer,arcane,nosy interplanetary people watchers,2,Dragon History,2,1E,Empyrean,7,2B,,277,C-,1,Emberfall Heights,
8,Sandclaw Blazeheart,,M,Brass,metallic,arcane,curious & short attention span,12,Elemental Binding,2,1E,Empyrean,8,2B,,232,C,1,Emberfall Heights,
9,Chromawing Festiva,,F,Harlequin,wild,arcane,clever and insightful jesters,7,Planar Studies,2,1E,Empyrean,9,2B,,216,C,1,Emberfall Heights,
10,Desertfang Heatscale,,F,Brass,metallic,arcane,curious & short attention span,9,Magical Theory and Application,2,1E,Empyrean,10,2B,,377,D+,1,Emberfall Heights,
11,Fieryfang Magmabreath,,F,Red,chromatic,arcane,proud and arrogant,1,Prophecy,2,1E,Empyrean,11,3C,,217,C,17,Cirrus Vale,
12,Starlit Mystique,,F,Indigo,wild,arcane,party going revelers,5,Mineral Extraction & Refinement,2,1E,Empyrean,12,3C,,54,B+,17,Cirrus Vale,
13,Blizzardheart Coldscale,,M,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,2,1E,Empyrean,13,3C,,284,C-,17,Cirrus Vale,
14,Thornclaw Mossbreath,,F,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,2,1E,Empyrean,14,3C,,218,C,17,Cirrus Vale,
15,Boltspine Thunderlash,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts:,2,1E,Empyrean,15,3C,,324,C-,17,Cirrus Vale,
16,Chaosrend Furytail,,M,Havoc,planar,divine,passionate artists,4,Economic Dominance and Resource Management,2,1E,Empyrean,16,4D,,168,C+,3,Pyre Crest,
17,Thunderlord Zephyrtail,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,12,Elemental Binding,2,1E,Empyrean,17,4D,,100,B-,3,Pyre Crest,
18,Coldfang Blizzardwing,,F,White,chromatic,arcane,brutish and predatory survivalists,10,Eldritch Engineering,2,1E,Empyrean,18,4D,,385,D+,3,Pyre Crest,
19,Chillscale Coldclaw,,F,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,2,1E,Empyrean,19,4D,,219,C,3,Pyre Crest,
20,Vilewing Swampclaw,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,12,Elemental Binding,2,1E,Empyrean,20,4D,,360,D+,3,Pyre Crest,
21,Gravebound Nocturne,,M,Crypt,planar,divine,independent & decisive,5,Mineral Extraction & Refinement,2,1E,Empyrean,21,1E,,213,C,10,Boudlerfall Enclave,
22,Frostfang Snowclaw,,M,White,chromatic,arcane,brutish and predatory survivalists,7,Planar Studies,2,1E,Empyrean,22,1E,,280,C-,10,Boudlerfall Enclave,
23,Heatspirit Droughtwing,,F,Brass,metallic,arcane,curious & short attention span,2,Dragon History,2,1E,Empyrean,23,1E,,363,D+,10,Boudlerfall Enclave,
24,Cobaltclaw Glacialis,,M,Cerulean,wild,arcane,explorers and adventurers,3,Ancient Relics and Artifacts:,2,1E,Empyrean,24,1E,,28,A-,10,Boudlerfall Enclave,
25,Coldscale Iceshard,,F,White,chromatic,arcane,brutish and predatory survivalists,12,Elemental Binding,2,1E,Empyrean,25,1E,,17,A,10,Boudlerfall Enclave,
26,Grimefang Acidspew,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,1,1N,Exalted,1,2A,May death,500,F,99,Graveyard,
27,Radiance Goldwing,,M,Gold,metallic,divine,wise counselor and leader,8,Political Intrigue and Diplomacy,1,1N,Exalted,2,2A,May death,500,F,99,Graveyard,
28,Scorchtongue Heatwing,,F,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,1,1N,Exalted,3,2A,May death,500,F,99,Graveyard,
29,Purplexion Gemmara,,M,Amethyst,jewel,arcane/divine,deception and stealth,12,Elemental Binding,1,1N,Exalted,4,2A,May death,500,F,99,Graveyard,
30,Verdantgrove Arborus,,F,Forest,imperial,primal,guardians of nature,1,Prophecy,1,1N,Exalted,5,2A,May death,500,F,99,Graveyard,
31,Highlord Vexalia,,F,Soverign,imperial,Occult,"subtle manipulators, negotiators",11,Arcanomechanics,1,1N,Exalted,6,3B,,33,A-,13,Pearl Current Row,
32,Flameheart Moltenclaw,,F,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,1,1N,Exalted,7,3B,,57,B+,13,Pearl Current Row,
33,Fossilheart Amberia,,F,Amber,wild,arcane,gossip & information broker,10,Eldritch Engineering,1,1N,Exalted,8,3B,,77,B,13,Pearl Current Row,
34,Deepbrine Maridom,,F,Brine,primal,primal,rigid courtsey & discipline,10,Eldritch Engineering,1,1N,Exalted,9,3B,,295,C-,13,Pearl Current Row,
35,Blazeclaw Dunespirit,,M,Brass,metallic,arcane,curious & short attention span,1,Prophecy,1,1N,Exalted,10,3B,,30,A-,13,Pearl Current Row,
36,Cataclysmara,,M,Apocolypse,planar,divine,despoiler & destroyer,8,Political Intrigue and Diplomacy,1,1N,Exalted,11,4C,Nov/Dec Ambush,500,F,99,Graveyard,
37,Skybreeze Turquoise,,M,Cerulean,wild,arcane,explorers and adventurers,10,Eldritch Engineering,1,1N,Exalted,12,4C,Nov/Dec Ambush,500,F,99,Graveyard,
38,Oceanheart Wavegazer,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,9,Magical Theory and Application,1,1N,Exalted,13,4C,Nov/Dec Ambush,500,F,99,Graveyard,
39,Whirlwindia Thunderwing,,M,Tumult,planar,divine,capricious seekers of change,10,Eldritch Engineering,1,1N,Exalted,14,4C,Nov/Dec Ambush,500,F,99,Graveyard,
40,Endbringer Solith,,M,Apocolypse,planar,divine,despoiler & destroyer,5,Mineral Extraction & Refinement,1,1N,Exalted,15,4C,Nov/Dec Ambush,500,F,99,Graveyard,
41,Bloodscale Emberfury,,F,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,8,Political Intrigue and Diplomacy,1,1N,Exalted,16,1D,,281,C-,19,Whirlwind Rise,
42,Stormheart Electrifang,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,5,Mineral Extraction & Refinement,1,1N,Exalted,17,1D,,368,D+,19,Whirlwind Rise,
43,Glacierfang Icescale,,M,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts:,1,1N,Exalted,18,1D,,337,C-,19,Whirlwind Rise,
44,Earthscale Copperbreath,,F,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,1,1N,Exalted,19,1D,,226,C,19,Whirlwind Rise,
45,Flamefang Sunbinder,,M,Brass,metallic,arcane,curious & short attention span,11,Arcanomechanics,1,1N,Exalted,20,1D,,279,C-,19,Whirlwind Rise,
46,Woodtail Forestgaze,Woody,M,Green,chromatic,arcane,obessive and meticulous scholars,5,Mineral Extraction & Refinement,1,1N,Exalted,21,2E,Fall-Soph,500,F,9,Terrashield Keep,
